date,equity
2015-02-02,100813.53391442836
2015-03-04,107243.4370841647
2015-04-02,108251.13274470647
2015-05-04,107191.17054916231
2015-06-03,112447.52556301602
2015-07-02,114507.34065753607
2015-08-03,115275.627856049
2015-09-01,106260.36810614086
2015-10-01,105934.20999098869
2015-10-30,112246.82522627393
2015-12-01,114025.6476811092
2015-12-31,111447.73000318395
2016-02-02,105640.75128503928
2016-03-03,109344.79331122579
2016-04-04,115903.59590602844
2016-05-03,117245.38749921246
2016-06-02,124448.81613734992
2016-07-01,129330.53974156104
2016-08-02,132631.08707461364
2016-08-31,133127.80431128156
2016-09-30,135786.23357311948
2016-10-31,128576.51829514049
2016-11-30,140027.5571007869
2016-12-30,144233.3339180682
2017-02-01,147729.73156401492
2017-03-03,155174.1647555864
2017-04-03,151636.35037305852
2017-05-03,151594.6768255158
2017-06-02,160390.12677617007
2017-07-03,151222.65428481135
2017-08-02,156903.93016279954
2017-08-31,160975.45064056662
2017-10-02,162421.82101839926
2017-10-31,170995.67922412118
2017-11-30,175976.34954973217
2018-01-02,180862.85613441374
2018-02-01,186849.53547712904
