date,equity
2020-11-16,110831.28038897892
2020-12-16,116930.61225687349
2021-01-19,135434.25967518194
2021-02-18,148340.34795011106
2021-03-19,143753.02575310646
2021-04-20,142249.10047510592
2021-05-19,146518.08641755063
2021-06-18,144721.0907943309
2021-07-20,140815.72577019254
2021-08-18,146136.60784963603
2021-09-17,146430.05358363746
2021-10-18,144769.06221712672
2021-11-16,152919.0312406678
2021-12-16,136811.8842756038
2022-01-18,128754.3562158481
2022-02-16,134139.46298497217
2022-03-18,147483.8312056922
2022-04-19,156172.0705360975
2022-05-18,143013.0485115973
2022-06-17,129789.82214024359
2022-07-20,125630.17201216918
2022-08-18,136063.6750538979
2022-09-19,131621.4538928297
2022-10-18,132428.7522765055
2022-11-16,148107.0648390529
2022-12-16,145527.1777233418
2023-01-19,147866.47460751043
2023-02-17,151234.99926048284
2023-03-21,147845.33445781897
2023-04-20,154380.15453679883
2023-05-19,162199.02609646157
2023-06-21,173833.89503587186
2023-07-21,196517.7189411774
2023-08-21,187590.41208749803
2023-09-20,185919.32658517436
2023-10-19,180010.88786479871
2023-11-17,196272.01597493305
2023-12-19,217689.27956243296
2024-01-22,227924.05464647635
2024-02-21,239804.63067253167
2024-03-21,266527.0899351651
2024-04-22,237436.07997087215
2024-05-21,265085.6041112297
2024-06-21,271312.7462515602
2024-07-23,262142.07749315174
2024-08-21,280405.59598754655
2024-09-20,310746.4434991388
2024-10-21,322368.6945550038
2024-11-19,375424.1637926065
2024-12-19,365795.6979331808
2025-01-23,397451.75152304454
2025-02-24,360086.3184630966
2025-03-25,338782.681174545
2025-04-24,332599.40843074897
2025-05-23,365574.68518649717
2025-06-25,387333.77610422665
2025-07-25,401193.0690086741
2025-08-25,386554.49759884184
2025-09-24,412548.32083746867
2025-10-23,454085.5858350852
2025-11-21,430726.05416448304
2025-12-23,487890.0861221845
2026-01-26,545497.3748519302
2026-02-25,622109.008249442
2026-03-26,592512.7694474403
2026-04-27,700938.8059394453
