date,equity
2015-02-02,99839.60207253313
2015-03-04,101209.79422143698
2015-04-02,100713.30151160154
2015-05-04,100431.72644124282
2015-06-03,101156.07547225813
2015-07-02,99647.38786455628
2015-08-03,101908.71435769746
2015-09-01,93783.19747802115
2015-10-01,94207.07595632893
2015-10-30,98777.13998085527
2015-12-01,98282.88883909749
2015-12-31,98523.85584756057
2016-02-02,98142.02849636077
2016-03-03,101401.47797135473
2016-04-04,105634.25376715379
2016-05-03,104447.10914261115
2016-06-02,106114.89437036126
2016-07-01,109469.9033841625
2016-08-02,109097.7397143618
2016-08-31,106857.52355742925
2016-09-30,105852.1081716007
2016-10-31,104293.32688443914
2016-11-30,108207.13209659814
2016-12-30,110181.88446222324
2017-02-01,109366.90699252867
2017-03-03,115436.24985826666
2017-04-03,115311.02147985194
2017-05-03,116795.0149904767
2017-06-02,120195.24891699573
2017-07-03,117721.26638254094
2017-08-02,120546.71559184528
2017-08-31,121848.03210064855
2017-10-02,119596.01748677161
2017-10-31,121262.06315778234
2017-11-30,124256.89937164338
2018-01-02,123031.96763738115
2018-02-01,124849.8520355848
