date,equity
2015-02-02,100932.2495383699
2015-03-04,104427.16156522521
2015-04-02,103690.92351673235
2015-05-04,108130.22623765936
2015-06-03,112805.38407846559
2015-07-02,110073.17122725098
2015-08-03,107651.52400025821
2015-09-01,100484.32922431667
2015-10-01,96560.7901374819
2015-10-30,100634.9726812079
2015-12-01,97533.34599087719
2015-12-31,90918.30272914596
2016-02-02,81809.58731658298
2016-03-03,88056.06494506623
2016-04-04,91408.32540104978
2016-05-03,100479.70983355276
2016-06-02,103433.32347430578
2016-07-01,104507.21545247271
2016-08-02,113837.56674499939
2016-08-31,117747.98337707671
2016-09-30,119077.40659807963
2016-10-31,120362.56997737076
2016-11-30,128348.40147192124
2016-12-30,130377.56330529352
2017-02-01,131657.04579362654
2017-03-03,135749.06183329466
2017-04-03,132688.5336274549
2017-05-03,133592.16828158317
2017-06-02,132038.58852569922
2017-07-03,134627.5284383271
2017-08-02,138271.61049195906
2017-08-31,135029.72007983227
2017-10-02,135595.21990031525
2017-10-31,136033.5979504236
2017-11-30,143586.73849596654
2018-01-02,144677.36812869724
2018-02-01,145460.65153442216
