date,equity
2015-02-02,100833.70166314843
2015-03-04,107283.77391014455
2015-04-02,108303.9789744621
2015-05-04,107257.22868930745
2015-06-03,112540.23259515893
2015-07-02,114618.25152060443
2015-08-03,115400.20806095135
2015-09-01,106395.63431878941
2015-10-01,106082.64002674099
2015-10-30,112422.0884554614
2015-12-01,114223.79265219477
2015-12-31,111661.04847714207
2016-02-02,105861.58726915526
2016-03-03,109596.16957332085
2016-04-04,116186.78190928206
2016-05-03,117548.77952101018
2016-06-02,124786.82145811342
2016-07-01,129702.55715454686
2016-08-02,133033.88473691684
2016-08-31,133562.03006301774
2016-09-30,136257.47340764696
2016-10-31,129039.2546998849
2016-11-30,140560.74301536448
2016-12-30,144824.24664502623
2017-02-01,148351.58460232467
2017-03-03,155842.315587458
2017-04-03,152301.45240002047
2017-05-03,152274.21474089252
2017-06-02,161134.87376438308
2017-07-03,151956.44210221127
2017-08-02,157695.56461758996
2017-08-31,161818.6980021281
2017-10-02,163293.5472316101
2017-10-31,171946.43707310138
2017-11-30,176974.62227551584
2018-01-02,181920.8683523311
2018-02-01,187978.66223008613
