date,equity
2015-02-02,100612.4322686969
2015-03-04,103682.30967168005
2015-04-02,103504.42332568765
2015-05-04,105664.48741416258
2015-06-03,108515.99122269328
2015-07-02,106357.87967833295
2015-08-03,103725.71760219641
2015-09-01,96329.15855397633
2015-10-01,92726.23777668086
2015-10-30,97691.10636099275
2015-12-01,93867.2449083868
2015-12-31,87785.10876152971
2016-02-02,79885.01763393507
2016-03-03,85943.62211880645
2016-04-04,89717.10846954201
2016-05-03,98622.62952248042
2016-06-02,101617.3652877579
2016-07-01,102672.40315910784
2016-08-02,110973.65189241496
2016-08-31,114832.29928384631
2016-09-30,116769.80459000097
2016-10-31,117382.45680953893
2016-11-30,125336.80544731316
2016-12-30,127318.35456684881
2017-02-01,128881.94699254412
2017-03-03,133002.9779905606
2017-04-03,130720.62354838336
2017-05-03,130832.78218393649
2017-06-02,129642.36807837884
2017-07-03,130784.6732638225
2017-08-02,134488.7447550385
2017-08-31,131335.5467080274
2017-10-02,133119.2902825801
2017-10-31,133718.9313842233
2017-11-30,141143.55219527424
2018-01-02,142215.62432467472
2018-02-01,142198.16893595186
