date,equity
2015-02-02,100386.78995956191
2015-03-04,108414.80368871585
2015-04-02,107709.16906254744
2015-05-04,106482.44070745497
2015-06-03,111387.69955774155
2015-07-02,110826.6986390448
2015-08-03,113512.15652036028
2015-09-01,103059.69816006039
2015-10-01,104701.92082939151
2015-10-30,111988.02184189642
2015-12-01,114782.11705190221
2015-12-31,111926.46170159781
2016-02-02,106432.80145917065
2016-03-03,111428.0560948671
2016-04-04,116386.62553424775
2016-05-03,117129.27758637651
2016-06-02,122642.09655418606
2016-07-01,124665.82562467933
2016-08-02,127509.4520588256
2016-08-31,123154.94784136862
2016-09-30,125408.15667550296
2016-10-31,117015.32887650422
2016-11-30,129696.09231478925
2016-12-30,136761.88758487738
2017-02-01,139773.2333760143
2017-03-03,144249.4948822578
2017-04-03,140968.2211207153
2017-05-03,134668.9685466101
2017-06-02,146281.53384956604
2017-07-03,134508.5191130089
2017-08-02,142743.83533026776
2017-08-31,144908.19502988906
2017-10-02,148853.42523028
2017-10-31,160785.34281200028
2017-11-30,165226.08024721575
2018-01-02,168162.60719101832
2018-02-01,171575.17884742853
